		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2047.984375	M = 1048576	N = 8	m = 9	n = 8388608
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001 2016 2061 2130 1966 2120 2041 2047 2096 11.202984 0.190461 SUCCESS   0
000000011 2045 2047 2043 2004 2061 1972 2118 2103  8.000648 0.433407 SUCCESS   1
000000101 2019 2044 2069 2033 1978 2004 2048 2102  5.693072 0.681568 SUCCESS   2
000000111 2063 2034 2022 2028 2040 2045 2051 2190 10.982719 0.202680 SUCCESS   3
000001001 2093 2072 2070 2019 2132 1977 2017 2101  9.997997 0.265167 SUCCESS   4
000001011 1962 2039 2048 2055 2018 2059 2069 2139  8.721797 0.366306 SUCCESS   5
000001101 2057 2147 2112 2020 2075 2037 2080 2080  8.922728 0.348856 SUCCESS   6
000001111 2093 2002 2031 2049 2074 2062 1982 2041  4.902242 0.767972 SUCCESS   7
000010001 2105 2093 2059 2127 2036 2075 2066 2028  6.686570 0.570796 SUCCESS   8
000010011 2101 2065 2083 2091 2132 2064 2019 2035  7.323454 0.502170 SUCCESS   9
000010101 2053 1988 1981 2042 2023 2073 2045 2056  4.782403 0.780560 SUCCESS  10
000010111 2035 2079 2029 2082 2030 2023 2145 2097  7.782956 0.454954 SUCCESS  11
000011001 2083 2026 1961 2073 2036 2018 2135 2029  9.533476 0.299307 SUCCESS  12
000011011 2013 2115 2074 2025 2036 2087 2086 2046  5.068214 0.750261 SUCCESS  13
000011101 2030 2005 2039 1979 2030 2063 2051 2077  4.247760 0.834106 SUCCESS  14
000011111 2023 2085 2031 2070 2101 2028 2073 2046  3.337012 0.911465 SUCCESS  15
000100011 2144 2099 2052 2071 2087 2036 2041 2060  7.185070 0.516803 SUCCESS  16
000100101 2080 2027 2004 2013 2110 2023 2032 2051  4.726579 0.786360 SUCCESS  17
000100111 2083 2011 2031 2113 2041 2067 2003 2051  4.824496 0.776159 SUCCESS  18
000101001 1924 2033 2123 2079 1994 2034 2091 2008 14.517646 0.069232 SUCCESS  19
000101011 2036 2042 1997 2007 2003 2059 2034 2019  3.858161 0.869688 SUCCESS  20
000101101 1998 2082 2125 2002 2090 2001 2038 2082  8.551043 0.381571 SUCCESS  21
000101111 2068 2029 1967 2067 2052 1978 2078 2091  7.750664 0.458197 SUCCESS  22
000110011 2067 2066 1941 2083 2002 2068 2079 2021  8.870313 0.353354 SUCCESS  23
000110101 2052 2084 2141 2006 2082 2057 2004 2039  7.566431 0.476925 SUCCESS  24
000110111 2060 2083 2014 2062 2051 2040 2054 2053  1.442441 0.993623 SUCCESS  25
000111001 2100 2068 2114 2075 1979 2027 2021 2011  7.822902 0.450958 SUCCESS  26
000111011 2060 2004 2086 1973 2033 1997 2123 2037  8.948880 0.346627 SUCCESS  27
000111101 2069 1989 2028 2028 2039 2021 1958 2063  6.995503 0.537118 SUCCESS  28
000111111 2040 2088 2023 2037 2141 1990 2026 2100  8.895408 0.351196 SUCCESS  29
001000011 2078 2006 2082 2057 2048 2000 2015 2080  4.200727 0.838574 SUCCESS  30
