		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2047.984375	M = 1048576	N = 8	m = 9	n = 8388608
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001 2039 2018 1994 2093 2093 1993 2036 2065  5.759266 0.674177 SUCCESS   0
000000011 2084 2059 1957 2173 2026 2043 2036 2056 13.152305 0.106716 SUCCESS   1
000000101 2080 2099 2038 1945 2086 2035 2060 2025  8.393688 0.395988 SUCCESS   2
000000111 2092 2089 2017 2098 2006 2009 2019 2004  6.635575 0.576412 SUCCESS   3
000001001 1986 2036 1999 2089 2044 2119 2023 2113  9.079688 0.335618 SUCCESS   4
000001011 2002 2084 2072 1984 2008 2100 2122 1993 10.549701 0.228541 SUCCESS   5
000001101 1984 2074 2056 2011 2009 2039 2049 2050  3.943688 0.862168 SUCCESS   6
000001111 2038 2189 2096 2072 1972 1989 1969 1977 21.917899 0.005070 FAILURE   7
000010001 2074 1998 1969 2092 2022 2045 2021 2027  6.668562 0.572777 SUCCESS   8
000010011 1975 2064 1994 2118 2078 2119 1980 2027 12.326311 0.137228 SUCCESS   9
000010101 2061 2022 2120 1980 2046 2075 1947 2071 11.168719 0.192321 SUCCESS  10
000010111 2011 2000 2071 2058 2030 2099 2090 2029  4.723296 0.786700 SUCCESS  11
000011001 2048 2017 2116 2118 2016 2070 2085 2042  6.768688 0.561783 SUCCESS  12
000011011 2064 2006 2079 2041 1988 2082 2032 2077  4.486128 0.810819 SUCCESS  13
000011101 2088 2002 2029 2058 2084 2086 2085 2051  4.190957 0.839497 SUCCESS  14
000011111 2037 2178 2090 2088 2017 1923 2025 2004 19.916825 0.010655 SUCCESS  15
000100011 2059 1981 1945 2008 2056 2066 1979 2126 14.165089 0.077563 SUCCESS  16
000100101 2071 2085 2112 2045 2010 2067 2093 2038  5.018830 0.755562 SUCCESS  17
000100111 2056 2031 2096 2141 2078 2109 1984 2013 10.733271 0.217275 SUCCESS  18
000101001 2088 2061 1979 1962 2014 2038 2072 2087  8.725459 0.365983 SUCCESS  19
000101011 2087 2030 2087 2023 2074 2011 1881 2062 17.230793 0.027794 SUCCESS  20
000101101 2032 2018 2132 2080 2076 2121 2050 2022  8.097776 0.423978 SUCCESS  21
000101111 2013 2012 2038 2088 2019 2017 2113 2062  5.274401 0.727885 SUCCESS  22
000110011 2120 2029 2004 2069 2061 2041 2069 2041  4.359376 0.823332 SUCCESS  23
000110101 2058 2070 2102 2039 2087 2036 2132 2092  7.194572 0.515793 SUCCESS  24
000110111 2044 1969 2101 2044 1993 2069 2028 2029  6.720029 0.567119 SUCCESS  25
000111001 2036 2074 1983 2021 2013 2025 1981 2018  6.520061 0.589183 SUCCESS  26
000111011 2121 2025 2025 2114 2059 2100 2082 2020  7.834881 0.449764 SUCCESS  27
000111101 2048 2070 2062 2027 2024 2025 2008 2051  1.935781 0.982918 SUCCESS  28
000111111 2110 2120 2054 2093 2019 1950 1982 1990 14.773707 0.063698 SUCCESS  29
001000011 2044 2021 2047 2027 1997 2065 2055 2058  2.133240 0.976652 SUCCESS  30
001000101 2094 1987 2142 2073 2064 2035 2026 2034  8.285465 0.406094 SUCCESS  31
001000111 2110 2012 2028 1999 2032 2026 1997 2077  6.121103 0.633669 SUCCESS  32
001001011 2032 2008 2108 2073 2031 2061 2140 2065  7.725348 0.460748 SUCCESS  33
001001101 1985 2081 1987 2070 2041 2102 2045 2048  6.179909 0.627087 SUCCESS  34
001001111 2079 2037 2068 2092 2025 2077 2007 1960  7.177668 0.517591 SUCCESS  35
001010011 2069 2028 1999 1983 1999 2075 2088 2010  6.887296 0.548840 SUCCESS  36
001010101 1990 2036 2129 2015 1992 2031 2055 2097  8.601911 0.376982 SUCCESS  37
001010111 2028 2013 2045 2035 2016 2075 1987 2097  4.886491 0.769636 SUCCESS  38
001011011 2009 2044 2067 2065 2074 2105 2100 2103  5.983192 0.649115 SUCCESS  39
001011101 1994 2075 2061 2068 2078 2016 2001 2092  5.193451 0.736714 SUCCESS  40
001011111 1985 1997 2067 2037 2048 1999 2151 2073 10.447555 0.235007 SUCCESS  41
001100101 2035 2069 2033 2015 1946 2014 1989 2075  8.933082 0.347973 SUCCESS  42
001100111 2108 2004 1986 2077 2079 2014 2064 2031  6.506235 0.590716 SUCCESS  43
001101011 2066 2043 2054 2033 2082 2020 2057 2079  1.814932 0.986169 SUCCESS  44
001101101 2107 2097 2093 2022 2124 2105 1994 2048 10.368909 0.240082 SUCCESS  45
001101111 2001 2080 2015 2099 1998 1945 2080 2066 10.796403 0.213504 SUCCESS  46
001110101 1994 2040 2091 2078 2036 1966 2080 2064  7.008034 0.535766 SUCCESS  47
001110111 2085 1971 2022 2098 2046 2077 2077 1976  8.759092 0.363025 SUCCESS  48
001111011 2020 2115 1983 1991 2016 2046 2058 2065  7.152116 0.520313 SUCCESS  49
001111101 2057 2007 2115 1998 2039 2051 2074 2024  5.097176 0.747141 SUCCESS  50
001111111 2003 2061 2031 2010 2020 2006 1975 2009  6.725553 0.566512 SUCCESS  51
010000011 1956 2061 2035 2032 2098 2043 2084 2016  7.020787 0.534392 SUCCESS  52
010000111 2065 2098 2070 2067 1979 2060 2016 2027  5.052495 0.751951 SUCCESS  53
010001011 2053 1961 2052 2186 2070 2024 2073 2032 14.442978 0.070925 SUCCESS  54
010001111 2071 2053 2037 2008 2064 2111 2065 2023  3.745203 0.879349 SUCCESS  55
010010011 1972 2016 2060 2107 2009 1974 2029 2059  9.039932 0.338939 SUCCESS  56
010010111 2035 2057 2100 1989 2090 2097 2036 2102  6.900916 0.547360 SUCCESS  57
010011011 1985 2112 2058 2077 2071 2066 2065 2061  5.212359 0.734657 SUCCESS  58
010011111 2085 2067 2087 2045 2050 2081 2024 1978  4.964663 0.761346 SUCCESS  59
010100011 2066 2030 2015 1986 2089 1956 2032 2032  8.198202 0.414353 SUCCESS  60
010100111 2014 2042 2060 1946 2028 2040 2063 2041  6.299654 0.613705 SUCCESS  61
010101011 2037 2054 2078 2015 2013 2005 2111 2085  5.332545 0.721513 SUCCESS  62
010101111 2055 2085 2044 2061 2002 2122 1952 2034  9.397018 0.309918 SUCCESS  63
010110011 2065 2106 1959 2050 2069 2005 2087 2047  7.772791 0.455974 SUCCESS  64
010110111 2072 2053 2095 2108 2096 2091 2052 2100  6.713053 0.567885 SUCCESS  65
010111011 2004 2020 2064 2012 2140 2083 2019 2071  7.743388 0.458930 SUCCESS  66
010111111 2010 2021 2039 2031 2045 1942 2103 2034  8.587896 0.378243 SUCCESS  67
011000111 2080 2069 2027 2034 2022 2049 2137 2035  5.490484 0.704094 SUCCESS  68
011001111 2058 2071 2007 2042 2129 2048 2121 2055  7.216968 0.513415 SUCCESS  69
011010111 2030 1968 2061 1987 2035 2063 2011 1958 10.337643 0.242123 SUCCESS  70
011011111 1988 2029 2040 2084 2108 2036 2052 2115  6.854610 0.552398 SUCCESS  71
011101111 2041 2008 2080 2078 2096 2038 2020 2003  4.437059 0.815697 SUCCESS  72
011111111 1956 2006 2050 1980 2006 1961 2058 2041 12.286775 0.138860 SUCCESS  73
100000000 2039 2018 1994 2093 2093 1993 2036 2065  5.759266 0.674177 SUCCESS  74
100010000 1970 2004 2030 2009 2030 2021 2034 2004  6.586459 0.581834 SUCCESS  75
100100000 2088 1989 1967 2037 2092 2094 2077 2106 10.112154 0.257242 SUCCESS  76
100101000 2039 2028 1973 1997 1986 2018 2013 2033  7.521071 0.481592 SUCCESS  77
100110000 2090 2073 2038 2014 2037 1981 2047 2017  4.653678 0.793868 SUCCESS  78
100111000 1984 2011 2146 2061 2044 1959 2028 2065 12.051169 0.148935 SUCCESS  79
101000000 2075 2096 1985 2081 1993 2057 2039 2079  6.181646 0.626893 SUCCESS  80
101000100 2104 2049 2123 2055 2081 2079 2016 2009  6.772791 0.561334 SUCCESS  81
101001000 2097 2008 2056 2002 2106 2023 2011 2096  6.991652 0.537534 SUCCESS  82
101001100 2056 2051 2009 2045 2036 2030 2008 2075  2.221055 0.973474 SUCCESS  83
101010000 2007 2164 2052 2101 2017 2148 2081 2031 15.306961 0.053445 SUCCESS  84
101010100 1995 2118 2134 2106 2006 2013 1957 2081 15.570108 0.048963 SUCCESS  85
101011000 2044 2076 2109 2088 2073 1985 1966 2046  8.809644 0.358608 SUCCESS  86
101011100 2042 2002 2078 2001 2034 1972 2073 2028  6.188480 0.626128 SUCCESS  87
101100000 2081 2119 2018 2108 2026 2067 1982 2103  9.525127 0.299949 SUCCESS  88
101100100 2052 1935 2060 2083 2041 2076 2064 2035  7.783240 0.454925 SUCCESS  89
101101000 2087 2066 2091 2012 2025 2085 2030 2066  3.807293 0.874078 SUCCESS  90
101101100 2150 2077 2099 2009 2046 2045 2046 2052  7.779988 0.455251 SUCCESS  91
101110000 2070 1920 2052 2068 1958 2048 2023 2096 14.297144 0.074342 SUCCESS  92
101110100 1994 2043 2140 2081 2062 1999 2050 1997  8.937091 0.347631 SUCCESS  93
101111000 2054 2103 2113 2117 2030 2118 2004 2017 10.188574 0.252039 SUCCESS  94
101111100 1904 2080 2023 1975 2031 2114 2030 2085 17.195740 0.028134 SUCCESS  95
110000000 2087 2043 1997 2079 2047 2042 1951 2037  7.410023 0.493108 SUCCESS  96
110000010 1976 2081 2086 2088 1964 2001 2037 2081  9.994856 0.265387 SUCCESS  97
110000100 2085 2043 2034 2086 2078 2095 2001 2085  4.911538 0.766988 SUCCESS  98
110001000 2017 1974 1995 1953 1981 2023 2054 2032 11.952479 0.153337 SUCCESS  99
110001010 2102 2031 2055 1976 2016 2041 1984 2075  7.238764 0.511105 SUCCESS 100
110010000 2037 2025 1999 2054 2059 2068 2052 2032  1.958682 0.982252 SUCCESS 101
110010010 2013 1989 2127 2122 2037 2049 2043 2031  8.515074 0.384838 SUCCESS 102
110010100 2053 2002 2006 1986 1985 2055 2063 2042  6.071718 0.639199 SUCCESS 103
